CMPD_CHEMBLID;CANONICAL_SMILES;STANDARD_VALUE
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;2.9
CHEMBL60738;CC(C)(C)c1cc(\C=C\2/CCN(O)S2(=O)=O)cc(c1O)C(C)(C)C;10
CHEMBL368682;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)C(C)C;40
CHEMBL12594;CON1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\C1=O;40
CHEMBL33958;Clc1cc2CC(=O)Oc2cc1C3CCCCC3;50
CHEMBL292324;O=C(Nc1nccs1)C2C(=O)N3c4ccccc4Sc5cccc2c35;70
CHEMBL34264;Clc1cc2CC(=O)Oc2cc1c3ccccc3;80
CHEMBL60793;CON(C)C(=O)N1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;100
CHEMBL417073;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nnc(N)s2;130
CHEMBL264200;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)C(F)(F)F;190
CHEMBL174501;COC(=O)N(O)C(C)C#Cc1cc(c2ccc(Cl)cc2)n(n1)c3ccc(OC)cc3;290
CHEMBL293689;CC(C)N1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;320
CHEMBL367010;CCc1ccc(cc1)c2cc(nn2c3ccc(OC)cc3)C#CC(C)N(O)C(=O)C;340
CHEMBL16828;COc1c(cc(cc1C(C)(C)C)c2nnc(S)s2)C(C)(C)C;350
CHEMBL49008;CC(C)(C)c1cc(\C=C\2/SC(=O)NC2=O)cc(c1O)C(C)(C)C;350
CHEMBL276850;N1c2ccccc2Oc3ccccc13;350
CHEMBL109745;CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)N)cc(c1O)C(C)(C)C.CS(=O)(=O)O;390
CHEMBL333579;Cc1noc(n1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;460
CHEMBL61952;Fc1ccc(NC(=O)C2C(=O)N3c4ccccc4Oc5cccc2c35)cc1;500
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;500
CHEMBL148922;COc1cc(\C=C\c2cc(C)sn2)cc(c1O)C(C)(C)C;900
CHEMBL304690;O=C(Nc1nc2ccccc2s1)C3C(=O)N4c5ccccc5CCc6cccc3c46;1000
CHEMBL304205;C1c2ccccc2Nc3ccccc13;1900
CHEMBL521;CC(C)Cc1ccc(cc1)C(C)C(=O)O;2000
CHEMBL296543;COc1ccc2c(c1)c(C(C)N(O)C(=O)C)c(C)n2C(=O)c3ccc(Cl)cc3;2400
CHEMBL62617;FC(F)(F)c1nnc(NC(=O)C2C(=O)N3c4ccccc4Sc5cccc2c35)s1;2400
CHEMBL174616;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)c4occc4;2900
CHEMBL3144587;Clc1ccc(CN2Nc3ccccc3C2=O)cn1;3000
CHEMBL17344;FC(F)(F)S(=O)(=O)Nc1cccc(OCc2ccc3ccccc3n2)c1;3300
CHEMBL329781;CC(C)(C)c1cc(Sc2nnc(S)s2)cc(c1O)C(C)(C)C;3600
CHEMBL366595;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C(C)C)N(O)C(=O)N;4600
CHEMBL111438;C\C(=C/1\SC(=NC1=O)NC#N)\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;5100
CHEMBL94851;CC(C)(C)c1cc(\C=C\c2nnc(S)s2)cc(c1O)C(C)(C)C;5200
CHEMBL84074;Oc1ccccc1OCc2ccc3ccccc3n2;5820
CHEMBL14433;CN1CN(C)c2nc3N(Cc4ccccc4)C(=C(CC=C(C)C)C(=O)n3c2C1=O)O;6000
CHEMBL274642;NC1=NN(CC1)c2cccc(c2)C(F)(F)F;6000
CHEMBL46871;COc1ccc2c(c1)c(CN(O)C(=O)C)c(C)n2C(=O)c3ccc(Cl)cc3;15000
CHEMBL91981;CCOC(=O)C(Sc1ccccc1)C(=O)c2ccccc2;15000
CHEMBL93310;CCO\C(=C(/Sc1ccccc1)\C=CC(=O)c2ccccc2)\O;22000
CHEMBL12154;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2n[nH]c(N)n2;30000
CHEMBL298776;Cn1c(S)nnc1c2ccccc2Nc3cccc(c3)C(F)(F)F;30000
CHEMBL3144576;Cc1ccncc1CN2Nc3ccccc3C2=O;30000
CHEMBL149448;CC(C)(C)c1cc(\C=C\c2onc(c2)C(F)(F)F)cc(c1O)C(C)(C)C;30000
CHEMBL273956;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nnc(S)n2N;32000
CHEMBL3144584;Brc1cncc(CN2Nc3ccccc3C2=O)c1;39000
CHEMBL3144581;C[C@H](N1Nc2ccccc2C1=O)c3cccc4ccccc34;48000
CHEMBL55844;ON(CCCCC(=O)O)C(=O)Cc1ccc(OCc2ccccc2)cc1;50000
CHEMBL93599;CCO\C(=C(/Sc1ccccc1)\C=CC(=O)C(=O)OCC)\O;50000
CHEMBL407916;CCO\C(=C\C=CC(=O)C(=O)OCC)\O;50000
CHEMBL3144580;O=C1N(Cc2ccccn2)Nc3ccccc13;67000
CHEMBL3144722;Cc1cncc(CN2Nc3ccccc3C2=O)c1;81000
CHEMBL8425;CC1=NN(CCOc2ccc3ccccc3c2)C(=O)C1;100000
CHEMBL3144715;O=C1N(Cc2cncs2)Nc3ccccc13;100000
CHEMBL75083;CCOC(=O)Cc1cccc(C(=O)c2ccc(Cl)cc2)c1NC(=O)C(F)(F)F;1000000
CHEMBL341001;CCOC(=O)c1nc(ns1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;
CHEMBL111563;CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)NCCCC(=O)O)cc(c1O)C(C)(C)C;
CHEMBL64813;CC(C)(C)c1cc(\C=C\2/CCCNS2(=O)=O)cc(c1O)C(C)(C)C;6.2
CHEMBL295739;CC(C)(C)c1cc(\C=C\2/SC(=S)NC2=O)cc(c1O)C(C)(C)C;12
CHEMBL62990;CCCN1CC\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;12
CHEMBL61422;O=C(Nc1nccs1)C2C(=O)N3c4ccccc4Oc5cccc2c35;20
CHEMBL154;COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O;60
CHEMBL173133;CCC(=O)N(O)CC#Cc1cc(c2ccc(C)cc2)n(n1)c3ccc(OC)cc3;60
CHEMBL16434;CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)N=C(N)N)cc(c1O)C(C)(C)C;83
CHEMBL509;Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl;100
CHEMBL876;[Na+].Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl;100
CHEMBL34410;CC1C(=O)Oc2cc(C3CCCCC3)c(C)cc12;100
CHEMBL331523;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C2CCOC2=O;150
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;200
CHEMBL433287;CONC(=O)c1ccccc1Nc2c(Cl)ccc(C)c2Cl;550
CHEMBL50833;Cc1cccc(Nc2ccccc2c3oc(S)nn3)c1C;610
CHEMBL64763;Fc1ccc2N3C(=O)C(C(=O)Nc4nccs4)c5cc(F)cc(Cc2c1)c35;700
CHEMBL62874;CC(C)(C)c1cc(\C=C/2\CCN(O)S2(=O)=O)cc(c1O)C(C)(C)C;700
CHEMBL54156;Cc1ccc(Cl)c(Nc2ccccc2c3oc(S)nn3)c1Cl;700
CHEMBL122193;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C2=NNC(=S)S2.C[N+](C)(C)CCO;800
CHEMBL277721;CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)NO)cc(c1O)C(C)(C)C;800
CHEMBL65050;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NO)c1Cl;1100
CHEMBL326108;CC(C)(C)c1cc(\C=C\2/OC(=NC2=O)NC#N)cc(c1O)C(C)(C)C;1100
CHEMBL366595;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C(C)C)N(O)C(=O)N;1200
CHEMBL53532;Cc1ccc(Cl)c(Nc2ccccc2c3nnc(NC#N)s3)c1Cl;1900
CHEMBL436352;Cc1nc(NC(=O)C2C(=O)N3c4ccccc4CCc5cccc2c35)sc1C;2000
CHEMBL12219;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2oc(N)nn2;2400
CHEMBL1719803;O=C1N(Nc2ccccc12)c3ccccc3;2700
CHEMBL304698;Cc1cc(NC(=O)C2C(=O)N3c4ccc(F)cc4Cc5cccc2c35)sn1;2800
CHEMBL303365;CC(C)(C)c1cc(\C=C\2/CCN(CC(=O)O)S2(=O)=O)cc(c1O)C(C)(C)C;3400
CHEMBL13013;CN1C(=O)N(C)c2nc3N(Cc4ccc(F)cc4)C(=C(CC=C(C)C)C(=O)n3c2C1=O)O;4200
CHEMBL65431;CONC(=O)C(C)c1ccc(CC(C)C)cc1;5800
CHEMBL284706;COC(=O)CCC(=O)N(O)c1cccc(COc2ccc3ccccc3c2)c1;6100
CHEMBL275909;CC(C)(C)c1cc(\C=C\c2n[nH]c(S)n2)cc(c1O)C(C)(C)C;6700
CHEMBL273941;CC(C)(C)c1cc(\C=C\c2oc(S)nn2)cc(c1O)C(C)(C)C;9400
CHEMBL175372;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)c4cccnc4;11500
CHEMBL313860;CCO\C(=C(/Sc1ccccc1)\C=CC(=O)C(=O)c2ccccc2)\O;12000
CHEMBL7660;O=C1CCN(N1)c2ccccc2;13000
CHEMBL7660;O=C1CCN(N1)c2ccccc2;13000
CHEMBL150804;CC(C)c1cc(\C=C\c2cc(C)[nH]n2)cc(C(C)C)c1O;14000
CHEMBL293910;Fc1ccc(NC(=O)C2C(=O)N3CCSc4cccc2c34)c(F)c1;27000
CHEMBL55133;CCCN(O)C(=O)Cc1ccc(OCc2ccccc2)cc1;30000
CHEMBL150717;COc1cc(\C=C\c2cc([nH]n2)C(=O)O)ccc1O;30000
CHEMBL12572;CC(C)(C)c1cc(\C=C\c2n[nH]c(O)n2)cc(c1O)C(C)(C)C;32000
CHEMBL293296;ON(CCc1ccccc1)C(=O)c2ccc(OCc3ccccc3)cc2;75000
CHEMBL44149;Cc1c(Cn2ccnc2)oc3ccc(cc13)C(=O)O;200000
CHEMBL47164;Cc1c(Cn2ccnc2)sc3cc(ccc13)C(=O)O;200000
CHEMBL46571;Cc1c(Cn2ccnc2)n(C)c3ccc(cc13)C(=O)O;200000
CHEMBL75581;Nc1c(CCO)cccc1C(=O)c2ccc(Cl)cc2;1000000
CHEMBL335057;OC(=O)CCC(=O)Nc1cccc(OCc2nc3ccccc3s2)c1;
CHEMBL339914;COC(=O)C1CN(C(=O)C1)c2cccc(OCc3nc4ccccc4n3C)c2;
CHEMBL276608;COc1ccc(CN2C(=C(CC=C(C)C)C(=O)n3c2nc4N(C)C(=O)N(C)C(=O)c34)O)cc1;
CHEMBL337252;COC(=O)CC(=O)Nc1cccc(OCc2nc3ccccc3n2C)c1;
CHEMBL341255;COC(=O)CC(=O)Nc1cccc(OCc2nc3ccccc3s2)c1;
CHEMBL130819;COC(=O)CCC(=O)Nc1cccc(OCc2nc3ccccc3s2)c1;
CHEMBL65299;C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)NO)c3cc(F)ccc23)C)cc1;
CHEMBL60725;CN1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;9.1
CHEMBL175153;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)C;10
CHEMBL62920;CCCN1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;13
CHEMBL33957;Brc1cc2CC(=O)Oc2cc1C3CCCCC3;30
CHEMBL12594;CON1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\C1=O;40
CHEMBL1908355;NC(=O)N1C(=O)\C(=C(/O)\c2cccs2)\c3cc(Cl)ccc13;53
CHEMBL34579;CC1C(=O)Oc2cc(c(Cl)cc12)c3ccccc3;80
CHEMBL509;Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl;100
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;100
CHEMBL8562;CC(C)(C)c1cc(\C=C\2/CCOC2=O)cc(c1O)C(C)(C)C;150
CHEMBL8562;CC(C)(C)c1cc(\C=C\2/CCOC2=O)cc(c1O)C(C)(C)C;150
CHEMBL8562;CC(C)(C)c1cc(\C=C\2/CCOC2=O)cc(c1O)C(C)(C)C;150
CHEMBL435907;COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C)N(O)C(=O)C;160
CHEMBL293617;Fc1ccc(NC(=O)C2C(=O)N3c4ccccc4Oc5cccc2c35)c(F)c1;200
CHEMBL62772;Clc1ccc(NC(=O)C2C(=O)N3c4ccccc4CCc5cccc2c35)cc1;200
CHEMBL12532;CSc1nnc(s1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;410
CHEMBL60136;O=C(Nc1ccccc1)C2C(=O)N3c4ccccc4Sc5cccc2c35;700
CHEMBL16659;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nnc(S)s2;800
CHEMBL299794;FC(F)(F)c1cccc(Nc2ccccc2C3=NNC(=S)S3)c1;850
CHEMBL368148;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CCN(O)C(=O)c4ccccc4;930
CHEMBL301990;FC(F)(F)c1cccc(Nc2ccccc2c3oc(NC#N)nn3)c1;1000
CHEMBL12594;CON1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\C1=O;1000
CHEMBL295829;COc1ccc2c(c1)c(CC(=O)NO)c(C)n2C(=O)c3ccc(Cl)cc3;1100
CHEMBL150170;Cc1cc(on1)\C=C\c2cc(C)c(O)c(C)c2;1200
CHEMBL173939;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)N;1400
CHEMBL417022;Cc1ccc(Cl)c(Nc2ccccc2c3nnc(S)s3)c1Cl;1750
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;1800
CHEMBL316040;COc1ccc(cc1)n2nc(CCC(=O)N(C)O)cc2c3ccc(Cl)cc3;2850
CHEMBL35178;Brc1c2OC(=O)Cc2ccc1C3CCCCC3;3000
CHEMBL61065;Cc1cnc(NC(=O)C2C(=O)N3c4ccccc4CCc5cccc2c35)s1;3600
CHEMBL542464;Cl.C\N=C(/N)\Nc1nc(ns1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;4400
CHEMBL94851;CC(C)(C)c1cc(\C=C\c2nnc(S)s2)cc(c1O)C(C)(C)C;5200
CHEMBL12234;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2n[nH]c(O)n2;5500
CHEMBL17344;FC(F)(F)S(=O)(=O)Nc1cccc(OCc2ccc3ccccc3n2)c1;9100
CHEMBL286450;O=C1Cc2ccc(cc2O1)C3CCCC3;10000
CHEMBL151433;CC(C)c1cc(\C=C\c2onc(C)c2)cc(C(C)C)c1O;10000
CHEMBL176668;COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C(C)C)N(O)C(=O)N;14500
CHEMBL304663;Fc1ccc(NC(=O)C2C(=O)N3CCCc4cc(F)cc2c34)c(F)c1;15000
CHEMBL65535;CN(O)C(=O)c1ccccc1Nc2c(Cl)ccc(C)c2Cl;15000
CHEMBL149945;Cc1cc(on1)\C=C\c2cc(Br)c(O)c(Br)c2;16000
CHEMBL42593;COc1ccc2c(c1)c(CN(O)C(=O)N)c(C)n2C(=O)c3ccc(Cl)cc3;20000
CHEMBL162358;CCCc1c(O)c(ccc1OCCCCc2nnn[nH]2)C(=O)C;44000
CHEMBL413482;CCOC(=O)C1=CC=C(Sc2ccccc2)C(=O)O1;50000
CHEMBL316996;CCO\C(=C(/SCC)\C=CC(=O)C(=O)OCC)\O;50000
CHEMBL92758;CCO\C(=C(/Sc1ccccc1)\C=CC=O)\O;50000
CHEMBL3144720;Cc1ncccc1CN2Nc3ccccc3C2=O;58000
CHEMBL74825;CCOC(=O)Cc1cccc(C(=O)c2ccc(Cl)cc2)c1N;73000
CHEMBL64342;Cc1cc(NC(=O)C2C(=O)N3CCCc4cc(F)cc2c34)sn1;100000
CHEMBL64051;Cc1cccc(NC(=O)C2C(=O)N3c4ccccc4Cc5cccc2c35)n1;100000
CHEMBL307591;Nc1c(CCO)cccc1C(=O)c2ccccc2;100000
CHEMBL267473;OC(=O)c1ccc(OCCn2ccnc2)cc1;100000
CHEMBL165090;Cc1nc(oc1COC(C)(C)C(=O)O)c2ccc(Cl)cc2;300000
CHEMBL78263;Nc1c(CCO)cccc1C(O)c2ccccc2;500000
CHEMBL306178;NC(=O)Cc1cccc(C(=O)c2ccc(Cl)cc2)c1N;1000000
CHEMBL288778;COC(=O)CCC(=O)Nc1cccc(OCc2ccc3ccccc3n2)c1;
CHEMBL109857;CN(C)CCNC1=NC(=O)\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1;
CHEMBL131070;COC(=O)C1CN(C(=O)C1)c2cccc(OCc3ccc4ccccc4n3)c2;
CHEMBL122393;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2onc(CN3CCCC3)n2;
