CMPD_CHEMBLID;CANONICAL_SMILES;STANDARD_VALUE
CHEMBL177462;CCOC(=O)C(=O)N(O)C(C)C#Cc1cc(c2ccc(C)cc2)n(n1)c3ccc(OC)cc3;3400
CHEMBL3144578;O=C1N(CCCc2ccccc2)Nc3ccccc13;3800
CHEMBL356843;Cc1cc(on1)\C=C\c2ccc(O)cc2;4000
CHEMBL64891;CC(C)(C)c1cc(\C=C/2\CCN(c3ccccn3)S2(=O)=O)cc(c1O)C(C)(C)C;4400
CHEMBL332103;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2noc(O)n2;4700
CHEMBL8562;CC(C)(C)c1cc(\C=C\2/CCOC2=O)cc(c1O)C(C)(C)C;5000
CHEMBL59756;Fc1cc2CCCN3C(=O)C(C(=O)Nc4nc(ns4)c5ccccc5)c(c1)c23;5000
CHEMBL274642;NC1=NN(CC1)c2cccc(c2)C(F)(F)F;5000
CHEMBL64458;Fc1cccc(F)c1NC(=O)C2C(=O)N3c4ccccc4Sc5cccc2c35;5000
CHEMBL425860;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CCN(O)C(=O)c4ccncc4;5500
CHEMBL369848;COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C)N(O)C(=O)N;6200
CHEMBL84750;C(Oc1cccc2ccccc12)c3ccc4ccccc4n3;6300
CHEMBL444828;Cc1onc(NC(=O)C2C(=O)N3c4ccccc4Cc5cccc2c35)c1;6400
CHEMBL417557;Fc1cccc(F)c1NC(=O)C2C(=O)N3c4ccccc4Cc5cccc2c35;6900
CHEMBL91004;CCO\C(=C(/Sc1ccccc1)\C=CC(=O)C(=O)O)\O;7000
CHEMBL12809;CC(C)(C)c1cc(\C=C\c2oc(N)nn2)cc(c1O)C(C)(C)C;8000
CHEMBL302394;O=C(Nc1ccccn1)C2C(=O)N3c4ccccc4Cc5cccc2c35;9100
CHEMBL112733;Oc1c(cc(\C=C\2/SC(=O)NC2=O)cc1c3ccccc3)c4ccccc4;9600
CHEMBL55620;CN(O)C(=O)Cc1ccc(OCc2cccc(Cl)c2)cc1;10000
CHEMBL112720;CN(O)C1=NC(=O)\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1;10000
CHEMBL301136;Nc1nnc(s1)c2ccccc2Nc3cccc(c3)C(F)(F)F;11000
CHEMBL151608;COc1cc(\C=C\c2onc(C)c2)ccc1O;12000
CHEMBL148850;Cc1cc(on1)\C=C\c2cc(Cl)c(O)c(Cl)c2;13800
CHEMBL173009;COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C)N(O)C(=O)c4ccccc4;14900
CHEMBL3144586;O=C1N(CCc2ccccc2)Nc3ccccc13;15000
CHEMBL3144583;CN1Nc2ccccc2C1=O;17000
CHEMBL412905;CN1NC(=O)c2ccccc12;20000
CHEMBL3144714;O=C1N(CCCCc2ccccc2)Nc3ccccc13;26000
CHEMBL3144717;O=C1N(Cc2cccs2)Nc3ccccc13;26000
CHEMBL52;CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2;30000
CHEMBL12371;Cn1c(S)nnc1c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;32000
CHEMBL12395;CC(C)(C)c1cc(\C=C\c2oc(O)nn2)cc(c1O)C(C)(C)C;32000
CHEMBL287012;COC(=O)CCC(=O)N(O)c1cccc(OCc2ccc3ccccc3n2)c1;40400
CHEMBL35209;Cc1ccc(cc1)C(O)c2nc3CCCCCc3cc2C;50000
CHEMBL8260;Oc1cc2OC(=CC(=O)c2c(O)c1O)c3ccccc3;50000
CHEMBL93670;CCO\C(=C(\C=CC(=O)C(=O)OCC)/c1ccccc1)\O;50000
CHEMBL162115;CCc1ccc(nc1)c2nc3ccccc3[nH]2;76000
CHEMBL3144574;O=C1N(Cc2c[nH]c3ccccc23)Nc4ccccc14;94000
CHEMBL64822;O=C(Nc1ncccn1)C2C(=O)N3c4ccccc4Cc5cccc2c35;100000
CHEMBL302208;Cc1cc(NC(=O)C2C(=O)N3CCSc4cccc2c34)sn1;100000
CHEMBL3144718;O=C1N(Cc2ccncc2)Nc3ccccc13;280000
CHEMBL307484;Nc1c(cccc1C(=O)c2ccc(Cl)cc2)C(=O)CCC(=O)O;1000000
CHEMBL75646;CN(C)c1c(CC(=O)O)cccc1C(=O)c2ccccc2;1000000
CHEMBL73348;[Na+].Nc1c(CC(=O)[O-])cccc1C(O)c2ccccc2;1000000
CHEMBL131248;Cn1c(COc2cccc(NC(=O)CCC(=O)O)c2)nc3ccccc13;
CHEMBL112847;CNC1=NC(=O)\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1;
CHEMBL15770;C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1;
CHEMBL303307;CONC(=O)CC1=C(C)\C(=C\c2ccc(cc2)[S+](C)[O-])\c3ccc(F)cc13;
CHEMBL552841;Cl.CN(C)C(=N)Nc1nc(ns1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;
CHEMBL65325;CN1CC\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;1
CHEMBL1626563;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nsc(NC#N)n2.C[N+](C)(C)CC[O-];11
CHEMBL64585;CC(C)(C)c1cc(\C=C\2/CCNS2(=O)=O)cc(c1O)C(C)(C)C;30
CHEMBL367010;CCc1ccc(cc1)c2cc(nn2c3ccc(OC)cc3)C#CC(C)N(O)C(=O)C;60
CHEMBL122377;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2onc(CCl)n2;100
CHEMBL876;[Na+].Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl;100
CHEMBL175153;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)C;110
CHEMBL302441;CN1OCC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;200
CHEMBL298672;FC(F)(F)c1cccc(Nc2ccccc2C3=NNC(=S)O3)c1;270
CHEMBL62693;Fc1ccc(F)c(NC(=O)C2C(=O)N3c4ccccc4Sc5cccc2c35)c1;400
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;500
CHEMBL302879;O=C(Nc1nccs1)C2C(=O)N3c4ccccc4Cc5cccc2c35;500
CHEMBL48568;CC(C)(C)c1cc(\C=C\2/OC(=O)NC2=O)cc(c1O)C(C)(C)C;650
CHEMBL174922;COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C)N(O)C(=O)N4CCCCC4;690
CHEMBL302838;O=C(Nc1nccs1)C2C(=O)N3c4ccccc4CCc5cccc2c35;700
CHEMBL542941;Cl.CN(C)Cc1onc(n1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;730
CHEMBL175995;CCc1ccc(cc1)c2cc(nn2c3ccc(OC)cc3)C#CC(C)N(O)C(=O)OC;750
CHEMBL63546;Cc1cnc(NC(=O)C2C(=O)N3c4ccc(F)cc4Cc5cccc2c35)s1;800
CHEMBL64396;Fc1ccc2N3C(=O)C(C(=O)Nc4cc(F)ccc4F)c5cccc(Cc2c1)c35;800
CHEMBL12302;Cc1cc(on1)\C=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;1500
CHEMBL94361;CC(C)(C)c1cc(Sc2oc(S)nn2)cc(c1O)C(C)(C)C;1500
CHEMBL353553;COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C)N(O)C(=O)N4CCOCC4;1600
CHEMBL417022;Cc1ccc(Cl)c(Nc2ccccc2c3nnc(S)s3)c1Cl;1700
CHEMBL349233;COc1ccc2c(c1)c(\C=C/3\SC(=S)NC3=O)c(C)n2C(=O)c4ccc(Cl)cc4;2000
CHEMBL175150;CCC(C#Cc1cc(c2ccc(C)cc2)n(n1)c3ccc(OC)cc3)N(O)C(=O)N;2100
CHEMBL48814;CN1C(=O)NC(=O)/C/1=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;4600
CHEMBL418514;Fc1cc2CCCN3C(=O)C(C(=O)Nc4nccs4)c(c1)c23;5400
CHEMBL173009;COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C)N(O)C(=O)c4ccccc4;5500
CHEMBL33734;COC(=O)CCC(=O)N(O)c1cccc(OCc2ccc3ccccc3c2)c1;7400
CHEMBL54453;CN(O)C(=O)Cc1ccc(OCc2ccccc2)cc1;9000
CHEMBL151847;COc1cc(\C=C\c2cc(C)ns2)cc(OC)c1O;9000
CHEMBL292707;CC(C)Cc1ccc(cc1)C(C)C(=O)NO;10000
CHEMBL275445;CSc1nnc(\C=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)s1;10000
CHEMBL356014;COc1cc(\C=C\c2cc(C)ns2)cc(c1O)C(C)(C)C;11500
CHEMBL17937;FC(F)(F)S(=O)(=O)Nc1ccc2ccc(OCc3ccc4ccccc4n3)cc2c1;11900
CHEMBL3144716;O=C1N(Cc2occc2)Nc3ccccc13;13000
CHEMBL62817;FC(F)(F)c1nnc(NC(=O)C2C(=O)N3CCSc4cccc2c34)s1;14000
CHEMBL16827;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nnc(O)s2;16000
CHEMBL3144577;O=C1N(Cc2ccc3ccccc3c2)Nc4ccccc14;18000
CHEMBL151987;Cc1cc(\C=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)n(C)n1;30000
CHEMBL35209;Cc1ccc(cc1)C(O)c2nc3CCCCCc3cc2C;33000
CHEMBL94042;CCO\C(=C(/O)\C=CC(=O)C(=O)OCC)\O;50000
CHEMBL81939;Oc1cccc(OCc2ccc3ccccc3n2)c1;100000
CHEMBL296006;OC(=O)c1ccc2sc(Cn3ccnc3)c(Cl)c2c1;200000
CHEMBL46912;OC(=O)c1ccc2sc(Cn3ccnc3)cc2c1;200000
CHEMBL43141;Cc1c(Cn2ccnc2)sc3ccc(cc13)C(=O)O;200000
CHEMBL44365;Cc1c(Cn2ccnc2)ccc3c(cccc13)C(=O)O;200000
CHEMBL8747;CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1;300000
CHEMBL3144579;O=C1N(Cc2cccnc2)Nc3ccccc13;300000
CHEMBL81199;C(Oc1cccc(Cc2nnn[nH]2)c1)c3ccc4ccccc4n3;
CHEMBL331888;Cc1ccc(cc1)S(=O)(=O)c2nc(ns2)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C;
CHEMBL128056;COC(=O)CCC(=O)Nc1cccc(OCc2ccccn2)c1;
CHEMBL131323;COC(=O)CCC(=O)Nc1cccc(OCc2oc3ccccc3n2)c1;
CHEMBL325611;CN(C)C(=N)NC1=NC(=O)\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1;
CHEMBL543175;Cl.CN(C)Cc1nc(ns1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;
CHEMBL13364;CN1C(=O)N(C)c2nc3N(Cc4ccccc4)C(=C(CC#C)C(=O)n3c2C1=O)O;
CHEMBL131069;O=C1CCC(=O)N1c2cccc(OCc3nc4ccccc4s3)c2;
CHEMBL294100;CC(C)(C)c1cc(\C=C/2\CCNS2(=O)=O)cc(c1O)C(C)(C)C;1
CHEMBL303092;CON1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;1
CHEMBL64507;CON1CC\C(=C\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;2.5
CHEMBL1908355;NC(=O)N1C(=O)\C(=C(/O)\c2cccs2)\c3cc(Cl)ccc13;10
CHEMBL509;Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl;100
CHEMBL509;Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl;100
CHEMBL28700;[Na+].Nc1c(CC(=O)[O-])cccc1C(=O)c2ccc(Cl)cc2;100
CHEMBL174684;COC(=O)N(O)C(C)C#Cc1cc(c2ccc(C)cc2)n(n1)c3ccc(OC)cc3;140
CHEMBL16048;CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)NC#N)cc(c1O)C(C)(C)C;160
CHEMBL64858;Fc1ccc2N3C(=O)C(C(=O)Nc4nccs4)c5cccc(Cc2c1)c35;200
CHEMBL298672;FC(F)(F)c1cccc(Nc2ccccc2C3=NNC(=S)O3)c1;270
CHEMBL290797;CC1C(=O)Oc2cc(ccc12)C3CCCCC3;400
CHEMBL62616;Cc1cnc(NC(=O)C2C(=O)N3c4ccccc4Sc5cccc2c35)s1;480
CHEMBL285763;[O-][N+](=O)c1cc2CC(=O)Oc2cc1C3CCCCC3;500
CHEMBL34698;CC1C(=O)Oc2cc(ccc12)c3ccccc3;500
CHEMBL301586;FC(F)(F)c1cccc(Nc2ccccc2c3n[nH]c(S)n3)c1;510
CHEMBL54156;Cc1ccc(Cl)c(Nc2ccccc2c3oc(S)nn3)c1Cl;700
CHEMBL1626562;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nnc(S)s2.C[N+](C)(C)CC[O-];800
CHEMBL274642;NC1=NN(CC1)c2cccc(c2)C(F)(F)F;800
CHEMBL828;N1c2ccccc2Sc3ccccc13;940
CHEMBL176945;CCc1ccc(cc1)c2cc(nn2c3ccc(OC)cc3)C#CC(C)N(O)C(=O)CCl;1700
CHEMBL60790;Cc1cc(NC(=O)C2C(=O)N3c4ccccc4Sc5cccc2c35)sn1;2600
CHEMBL44957;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2noc(N)n2;3000
CHEMBL55620;CN(O)C(=O)Cc1ccc(OCc2cccc(Cl)c2)cc1;3000
CHEMBL7660;O=C1CCN(N1)c2ccccc2;3000
CHEMBL146786;COc1cc(\C=C\c2cc(C)ns2)ccc1O;3400
CHEMBL60993;COc1cc2CCCN3C(=O)C(C(=O)Nc4cc(F)ccc4F)c(c1)c23;3400
CHEMBL60499;Cc1cc(NC(=O)C2C(=O)N3c4ccc(F)cc4Cc5cc(F)cc2c35)ns1;3500
CHEMBL316040;COc1ccc(cc1)n2nc(CCC(=O)N(C)O)cc2c3ccc(Cl)cc3;4200
CHEMBL146701;Cc1cc(\C=C\c2cc(C)c(O)c(C)c2)[nH]n1;4600
CHEMBL60165;O=C(NC1=NN=CC1)C2C(=O)N3c4ccccc4Cc5cccc2c35;6200
CHEMBL295008;CNC(=S)N(O)C(C)c1c(C)n(C(=O)c2ccc(Cl)cc2)c3ccc(OC)cc13;7000
CHEMBL295243;CNC(=S)N(O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c3ccc(OC)cc13;7100
CHEMBL300637;Nc1oc(nn1)c2ccccc2Nc3cccc(c3)C(F)(F)F;7100
CHEMBL149451;Cc1cc(on1)\C=C\c2cc(C)c(O)c(c2)C(C)(C)C;7400
CHEMBL64304;Cc1onc(NC(=O)C2C(=O)N3c4ccccc4CCc5cccc2c35)c1;7500
CHEMBL173939;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)N;9400
CHEMBL284297;O=C1Cc2cc(ccc2O1)C3CCCCC3;10000
CHEMBL553275;Cl.CC(CN1CCOCC1)c2cccc(c2)C(=O)c3ccccc3;10000
CHEMBL34207;COc1cc2CC(=O)Oc2cc1c3ccccc3;10000
CHEMBL368546;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CCN(O)C(=O)N;12100
CHEMBL310833;Cc1ccc(cc1)S(=O)(=O)NC(=O)c2cccc(OCc3ccc4ccccc4n3)c2;13400
CHEMBL101;CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3;15000
CHEMBL3144573;Cc1ccc(CN2Nc3ccccc3C2=O)cn1;21000
CHEMBL359369;COc1cc(\C=C\c2cc(C)n[nH]2)cc(OC)c1O;30000
CHEMBL8612;O=C1NN(Cc2ccccc2)c3ccccc13;31000
CHEMBL60949;Cc1cnc(NC(=O)C2C(=O)N3CCCc4cc(F)cc2c34)s1;37000
CHEMBL287012;COC(=O)CCC(=O)N(O)c1cccc(OCc2ccc3ccccc3n2)c1;40000
CHEMBL92299;CCOC(=O)C(=O)C=C\C(=C(/O)\c1ccccc1)\Sc2ccccc2;50000
CHEMBL329606;CCOC(=O)C(=O)C=C\C(=C(/O)\c1ccccc1)\SC;50000
CHEMBL94220;CCO\C(=C(\C=CC(=O)C(=O)OCC)/C(=O)c1ccccc1)\O;50000
CHEMBL273584;CCO\C(=C(/Sc1ccccc1)\C=CC(=O)C(=O)N(C)C)\O;50000
CHEMBL73295;CCOC(=O)Cc1cccc(C(=O)c2ccccc2)c1N;50000
CHEMBL8425;CC1=NN(CCOc2ccc3ccccc3c2)C(=O)C1;50000
CHEMBL35425;CCC1C(=O)Oc2cc(ccc12)c3ccccc3;50000
CHEMBL60498;O=C(Nc1ncc[nH]1)C2C(=O)N3c4ccccc4Cc5cccc2c35;100000
CHEMBL538059;Cl.OCCN1CCN(CC1)C(=O)CN2C(=O)Sc3ccc(Cl)cc23;100000
CHEMBL47165;OC(=O)c1ccc2c(Cl)c(Cn3ccnc3)sc2c1;200000
CHEMBL73205;[Na+].Nc1c(CC(=O)[O-])cccc1C(O)c2ccc(Cl)cc2;1000000
CHEMBL337864;COC(=O)CCC(=O)Nc1cccc(OCC(=O)Nc2ccccc2)c1;
CHEMBL13320;CN1C(=O)N(C)c2nc3N(Cc4ccccc4)C(=C(C5CCCC=C5)C(=O)n3c2C1=O)O;
CHEMBL335532;COC(=O)C1CN(C(=O)C1)c2cccc(OCc3oc4ccccc4n3)c2;
CHEMBL130717;COC(=O)CCC(=O)N(C)c1cccc(OCc2nc3ccccc3s2)c1;
CHEMBL334848;COC(=O)CCC(=O)Nc1cccc(OCc2nc3ccccc3n2C)c1;