ID,MW,logP,HBD,HBA
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL60738,353.484000,3.752800,2.000000,4.000000
CHEMBL368682,417.509000,4.470120,1.000000,5.000000
CHEMBL12594,331.456000,4.164300,1.000000,3.000000
CHEMBL33958,250.725000,3.849200,0.000000,2.000000
CHEMBL292324,365.439000,4.008300,1.000000,5.000000
CHEMBL34264,244.677000,3.468500,0.000000,2.000000
CHEMBL60793,424.563000,3.976800,1.000000,5.000000
CHEMBL417073,305.447000,4.087900,2.000000,5.000000
CHEMBL264200,443.425000,4.376420,1.000000,5.000000
CHEMBL174501,425.872000,4.398900,1.000000,6.000000
CHEMBL293689,379.566000,4.772000,1.000000,3.000000
CHEMBL367010,403.482000,4.088000,1.000000,5.000000
CHEMBL16828,336.526000,5.097400,1.000000,5.000000
CHEMBL49008,333.453000,4.311100,2.000000,4.000000
CHEMBL276850,183.210000,3.535900,1.000000,2.000000
CHEMBL109745,428.576000,3.420200,3.000000,6.000000
CHEMBL333579,288.391000,4.345620,1.000000,4.000000
CHEMBL61952,360.344000,4.332000,1.000000,3.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL148922,303.427000,4.633620,1.000000,4.000000
CHEMBL304690,411.486000,4.795500,1.000000,4.000000
CHEMBL304205,181.238000,3.334400,1.000000,1.000000
CHEMBL521,206.285000,3.073200,1.000000,1.000000
CHEMBL296543,400.862000,4.598920,1.000000,5.000000
CHEMBL62617,434.424000,4.422100,1.000000,6.000000
CHEMBL174616,441.487000,4.720920,1.000000,6.000000
CHEMBL3144587,259.696000,2.426300,1.000000,3.000000
CHEMBL17344,382.363000,4.075300,1.000000,4.000000
CHEMBL329781,354.566000,5.278600,2.000000,6.000000
CHEMBL366595,418.497000,4.002320,2.000000,5.000000
CHEMBL111438,371.506000,4.418280,2.000000,5.000000
CHEMBL94851,348.537000,5.297800,2.000000,5.000000
CHEMBL84074,251.285000,3.519400,1.000000,3.000000
CHEMBL14433,407.474000,2.237900,1.000000,7.000000
CHEMBL274642,229.205000,2.187700,1.000000,3.000000
CHEMBL46871,386.835000,4.037920,1.000000,5.000000
CHEMBL91981,300.379000,3.593300,0.000000,4.000000
CHEMBL93310,326.417000,4.981400,1.000000,4.000000
CHEMBL12154,288.395000,3.354500,3.000000,4.000000
CHEMBL298776,350.369000,4.533200,2.000000,5.000000
CHEMBL3144576,239.278000,2.081320,1.000000,3.000000
CHEMBL149448,367.411000,6.164400,1.000000,3.000000
CHEMBL273956,320.462000,3.248200,3.000000,6.000000
CHEMBL3144584,304.147000,2.535400,1.000000,3.000000
CHEMBL3144581,288.350000,4.092100,1.000000,2.000000
CHEMBL55844,357.406000,3.280800,2.000000,4.000000
CHEMBL93599,322.382000,3.230700,1.000000,6.000000
CHEMBL407916,214.217000,1.110700,1.000000,5.000000
CHEMBL3144580,225.251000,1.772900,1.000000,3.000000
CHEMBL3144722,239.278000,2.081320,1.000000,3.000000
CHEMBL8425,268.316000,2.826800,0.000000,3.000000
CHEMBL3144715,231.280000,1.834400,1.000000,4.000000
CHEMBL75083,413.779000,4.177400,1.000000,4.000000
CHEMBL64813,351.512000,4.041300,2.000000,3.000000
CHEMBL295739,349.521000,4.476000,2.000000,4.000000
CHEMBL62990,379.566000,4.773600,1.000000,3.000000
CHEMBL61422,349.371000,3.649400,1.000000,5.000000
CHEMBL154,230.263000,3.036500,1.000000,2.000000
CHEMBL173133,389.455000,3.835620,1.000000,5.000000
CHEMBL16434,374.510000,3.230900,3.000000,4.000000
CHEMBL509,296.153000,4.743620,2.000000,2.000000
CHEMBL876,318.135000,0.412920,1.000000,3.000000
CHEMBL34410,244.334000,4.065220,0.000000,2.000000
CHEMBL331523,290.403000,4.017700,1.000000,3.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL433287,325.195000,4.336620,2.000000,3.000000
CHEMBL50833,297.383000,4.385740,2.000000,5.000000
CHEMBL64763,383.379000,3.726100,1.000000,4.000000
CHEMBL62874,353.484000,3.752800,2.000000,4.000000
CHEMBL54156,352.246000,5.384120,2.000000,5.000000
CHEMBL122193,426.672000,4.853190,3.000000,5.000000
CHEMBL277721,348.468000,3.936300,3.000000,5.000000
CHEMBL65050,311.168000,4.164420,3.000000,3.000000
CHEMBL326108,341.411000,3.311580,2.000000,5.000000
CHEMBL366595,418.497000,4.002320,2.000000,5.000000
CHEMBL53532,376.272000,5.456900,2.000000,6.000000
CHEMBL436352,389.480000,4.259140,1.000000,4.000000
CHEMBL12219,289.379000,3.619400,2.000000,5.000000
CHEMBL1719803,210.236000,2.318800,1.000000,2.000000
CHEMBL304698,379.416000,3.895420,1.000000,4.000000
CHEMBL303365,395.521000,3.448200,2.000000,4.000000
CHEMBL13013,439.447000,1.448300,1.000000,9.000000
CHEMBL65431,235.327000,2.666200,1.000000,2.000000
CHEMBL284706,379.412000,4.094200,1.000000,5.000000
CHEMBL275909,331.485000,4.564400,3.000000,4.000000
CHEMBL273941,332.469000,4.829300,2.000000,5.000000
CHEMBL175372,452.514000,4.522920,1.000000,6.000000
CHEMBL313860,354.427000,4.550500,1.000000,5.000000
CHEMBL7660,162.192000,0.927900,1.000000,2.000000
CHEMBL7660,162.192000,0.927900,1.000000,2.000000
CHEMBL150804,284.403000,4.840920,2.000000,2.000000
CHEMBL293910,346.358000,3.139400,1.000000,3.000000
CHEMBL55133,299.370000,3.435900,1.000000,3.000000
CHEMBL150717,260.249000,1.992500,3.000000,4.000000
CHEMBL12572,315.417000,3.981300,3.000000,4.000000
CHEMBL293296,347.414000,4.339700,1.000000,3.000000
CHEMBL44149,256.261000,2.684220,1.000000,4.000000
CHEMBL47164,272.329000,3.152720,1.000000,4.000000
CHEMBL46571,269.304000,2.429720,1.000000,4.000000
CHEMBL75581,275.735000,2.688000,2.000000,3.000000
CHEMBL60725,351.512000,3.993400,1.000000,3.000000
CHEMBL175153,389.455000,3.834020,1.000000,5.000000
CHEMBL62920,379.566000,4.773600,1.000000,3.000000
CHEMBL33957,295.176000,3.958300,0.000000,2.000000
CHEMBL12594,331.456000,4.164300,1.000000,3.000000
CHEMBL1908355,320.757000,3.253100,2.000000,4.000000
CHEMBL34579,258.704000,4.029500,0.000000,2.000000
CHEMBL509,296.153000,4.743620,2.000000,2.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL8562,302.414000,4.317500,1.000000,3.000000
CHEMBL8562,302.414000,4.317500,1.000000,3.000000
CHEMBL8562,302.414000,4.317500,1.000000,3.000000
CHEMBL435907,409.873000,4.179000,1.000000,5.000000
CHEMBL293617,378.334000,4.471100,1.000000,3.000000
CHEMBL62772,388.854000,4.839200,1.000000,2.000000
CHEMBL12532,336.526000,5.227600,1.000000,5.000000
CHEMBL60136,358.422000,4.551800,1.000000,3.000000
CHEMBL16659,322.499000,4.794400,2.000000,5.000000
CHEMBL299794,353.394000,5.630090,2.000000,4.000000
CHEMBL368148,437.499000,4.739420,1.000000,5.000000
CHEMBL301990,345.284000,4.391980,2.000000,6.000000
CHEMBL12594,331.456000,4.164300,1.000000,3.000000
CHEMBL295829,372.808000,3.348120,2.000000,5.000000
CHEMBL150170,229.279000,3.475860,1.000000,3.000000
CHEMBL173939,390.443000,3.366220,2.000000,5.000000
CHEMBL417022,368.314000,5.852620,2.000000,5.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL316040,385.851000,3.981500,1.000000,5.000000
CHEMBL35178,295.176000,3.958300,0.000000,2.000000
CHEMBL61065,375.453000,3.950720,1.000000,4.000000
CHEMBL542464,397.976000,4.283900,3.000000,5.000000
CHEMBL94851,348.537000,5.297800,2.000000,5.000000
CHEMBL12234,289.379000,3.477900,3.000000,4.000000
CHEMBL17344,382.363000,4.075300,1.000000,4.000000
CHEMBL286450,202.253000,2.805700,0.000000,2.000000
CHEMBL151433,285.387000,5.105820,1.000000,3.000000
CHEMBL176668,438.915000,4.347300,2.000000,5.000000
CHEMBL304663,346.308000,3.119000,1.000000,2.000000
CHEMBL65535,325.195000,4.506620,2.000000,3.000000
CHEMBL149945,359.017000,4.384020,1.000000,3.000000
CHEMBL42593,387.823000,3.570120,2.000000,5.000000
CHEMBL162358,318.377000,2.462100,2.000000,6.000000
CHEMBL413482,276.313000,2.967700,0.000000,5.000000
CHEMBL316996,274.338000,2.191500,1.000000,6.000000
CHEMBL92758,250.319000,3.297400,1.000000,4.000000
CHEMBL3144720,239.278000,2.081320,1.000000,3.000000
CHEMBL74825,317.772000,3.258800,1.000000,4.000000
CHEMBL64342,331.372000,2.605720,1.000000,4.000000
CHEMBL64051,355.397000,3.694820,1.000000,3.000000
CHEMBL307591,241.290000,2.034600,2.000000,3.000000
CHEMBL267473,232.239000,1.660300,1.000000,4.000000
CHEMBL165090,309.749000,3.683220,1.000000,4.000000
CHEMBL78263,243.306000,1.885300,3.000000,3.000000
CHEMBL306178,288.734000,2.181000,2.000000,3.000000
CHEMBL304489,448.028000,6.221600,1.000000,3.000000
CHEMBL65330,396.509000,3.462400,3.000000,5.000000
CHEMBL264200,443.425000,4.376420,1.000000,5.000000
CHEMBL35511,264.752000,4.410200,0.000000,2.000000
CHEMBL545288,355.935000,4.386200,2.000000,5.000000
CHEMBL34649,230.307000,3.504220,0.000000,2.000000
CHEMBL62101,394.402000,4.830000,1.000000,3.000000
CHEMBL177727,403.482000,4.224120,1.000000,5.000000
CHEMBL53610,360.204000,4.988400,2.000000,6.000000
CHEMBL174976,391.427000,3.665420,1.000000,6.000000
CHEMBL331069,288.391000,4.345620,1.000000,4.000000
CHEMBL149278,313.441000,5.454020,1.000000,3.000000
CHEMBL64759,414.571000,4.963200,1.000000,4.000000
CHEMBL113138,454.549000,2.018300,4.000000,6.000000
CHEMBL75896,283.303000,-1.671800,1.000000,4.000000
CHEMBL174684,405.454000,4.053920,1.000000,6.000000
CHEMBL50833,297.383000,4.385740,2.000000,5.000000
CHEMBL418665,347.330000,3.489320,1.000000,5.000000
CHEMBL49249,346.496000,3.674600,2.000000,3.000000
CHEMBL410500,401.850000,4.131120,2.000000,5.000000
CHEMBL35129,285.170000,4.502600,0.000000,2.000000
CHEMBL295829,372.808000,3.348120,2.000000,5.000000
CHEMBL123459,289.379000,3.619400,2.000000,5.000000
CHEMBL13184,421.457000,1.309200,1.000000,9.000000
CHEMBL18132,370.408000,5.255600,2.000000,4.000000
CHEMBL64738,377.350000,3.664600,1.000000,3.000000
CHEMBL113211,331.481000,4.217900,2.000000,3.000000
CHEMBL64403,416.384000,3.861700,1.000000,5.000000
CHEMBL64399,340.382000,3.991400,1.000000,2.000000
CHEMBL33959,190.242000,2.346600,0.000000,2.000000
CHEMBL304647,442.475000,4.649000,1.000000,5.000000
CHEMBL276916,306.431000,4.325900,2.000000,5.000000
CHEMBL113908,363.548000,4.866100,2.000000,4.000000
CHEMBL64422,354.409000,4.185800,1.000000,2.000000
CHEMBL93712,362.524000,4.882880,2.000000,7.000000
CHEMBL59748,363.348000,3.426920,1.000000,4.000000
CHEMBL123210,345.443000,4.733500,1.000000,6.000000
CHEMBL176200,475.545000,4.157420,1.000000,7.000000
CHEMBL54453,271.316000,2.655700,1.000000,3.000000
CHEMBL3144582,259.696000,2.426300,1.000000,3.000000
CHEMBL62291,379.441000,3.320000,1.000000,5.000000
CHEMBL302414,366.377000,2.982000,1.000000,5.000000
CHEMBL1984519,224.263000,2.377900,1.000000,2.000000
CHEMBL65430,235.327000,2.836200,1.000000,2.000000
CHEMBL303303,367.405000,3.450500,1.000000,4.000000
CHEMBL50,302.238000,1.988000,5.000000,7.000000
CHEMBL91982,190.198000,2.226300,2.000000,2.000000
CHEMBL50,302.238000,1.988000,5.000000,7.000000
CHEMBL34578,226.231000,2.520700,1.000000,3.000000
CHEMBL328432,349.452000,3.234300,0.000000,6.000000
CHEMBL262539,424.888000,4.101300,2.000000,5.000000
CHEMBL1021,254.289000,1.527600,2.000000,3.000000
CHEMBL284584,134.134000,1.148100,0.000000,2.000000
CHEMBL557333,276.679000,3.029200,1.000000,4.000000
CHEMBL77275,277.751000,2.538700,3.000000,3.000000
CHEMBL75445,297.310000,2.547300,2.000000,4.000000
CHEMBL451236,285.255000,2.452900,1.000000,4.000000
CHEMBL62439,448.028000,6.221600,1.000000,3.000000
CHEMBL305076,365.539000,4.383500,1.000000,3.000000
CHEMBL331489,306.431000,4.325900,2.000000,5.000000
CHEMBL368682,417.509000,4.470120,1.000000,5.000000
CHEMBL64370,397.406000,4.034520,1.000000,4.000000
CHEMBL435759,277.255000,-2.203800,1.000000,4.000000
CHEMBL876,318.135000,0.412920,1.000000,3.000000
CHEMBL543650,415.028000,5.637170,3.000000,6.000000
CHEMBL350729,338.314000,4.182700,2.000000,6.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL2111719,398.956000,4.700300,2.000000,5.000000
CHEMBL61731,393.593000,5.019600,1.000000,3.000000
CHEMBL64337,390.389000,4.464000,1.000000,2.000000
CHEMBL2079592,336.526000,5.178690,1.000000,5.000000
CHEMBL62572,376.799000,4.846300,1.000000,3.000000
CHEMBL64435,376.362000,4.269600,1.000000,2.000000
CHEMBL35313,216.280000,3.195800,0.000000,2.000000
CHEMBL60994,372.399000,4.324900,1.000000,2.000000
CHEMBL325065,305.399000,3.962900,2.000000,4.000000
CHEMBL299794,353.394000,5.630090,2.000000,4.000000
CHEMBL62916,361.426000,3.756320,1.000000,4.000000
CHEMBL64490,343.342000,3.587900,1.000000,4.000000
CHEMBL543891,383.949000,3.832400,3.000000,5.000000
CHEMBL278246,388.537000,3.621000,3.000000,4.000000
CHEMBL16977,290.363000,3.742800,2.000000,5.000000
CHEMBL3144723,255.277000,1.781500,1.000000,4.000000
CHEMBL109501,354.454000,3.226780,2.000000,5.000000
CHEMBL64064,361.426000,3.756320,1.000000,4.000000
CHEMBL325315,317.454000,4.605500,1.000000,3.000000
CHEMBL65490,386.835000,3.690320,1.000000,5.000000
CHEMBL64076,355.397000,3.580800,1.000000,3.000000
CHEMBL292884,358.372000,4.130500,1.000000,2.000000
CHEMBL162840,395.336000,5.534220,2.000000,4.000000
CHEMBL297733,351.262000,5.146120,2.000000,5.000000
CHEMBL148962,326.484000,5.199520,1.000000,3.000000
CHEMBL347975,310.147000,3.630120,1.000000,4.000000
CHEMBL435456,403.294000,5.086400,2.000000,5.000000
CHEMBL81199,317.352000,2.917700,1.000000,5.000000
CHEMBL178896,489.572000,4.411400,1.000000,7.000000
CHEMBL175150,404.470000,3.756320,2.000000,5.000000
CHEMBL292118,317.395000,2.317700,1.000000,5.000000
CHEMBL150783,261.277000,2.876220,1.000000,5.000000
CHEMBL293858,352.459000,3.026300,1.000000,3.000000
CHEMBL276725,134.138000,1.268500,2.000000,2.000000
CHEMBL357141,357.450000,4.772700,2.000000,4.000000
CHEMBL347053,185.226000,3.153420,0.000000,2.000000
CHEMBL287012,380.400000,3.489200,1.000000,6.000000
CHEMBL432054,319.426000,3.124800,0.000000,5.000000
CHEMBL52,302.370000,3.566400,4.000000,4.000000
CHEMBL93046,218.230000,1.234500,3.000000,4.000000
CHEMBL93598,336.409000,3.371800,1.000000,6.000000
CHEMBL418227,216.280000,3.195800,0.000000,2.000000
CHEMBL3144719,274.323000,3.531100,1.000000,2.000000
CHEMBL3144575,288.350000,4.092100,1.000000,2.000000
CHEMBL306135,287.702000,3.775300,1.000000,3.000000
CHEMBL76126,253.257000,3.121900,1.000000,3.000000
CHEMBL65140,379.522000,3.910100,1.000000,4.000000
CHEMBL60496,377.550000,4.526000,1.000000,3.000000
CHEMBL291543,365.539000,4.383500,1.000000,3.000000
CHEMBL177727,403.482000,4.224120,1.000000,5.000000
CHEMBL435907,409.873000,4.179000,1.000000,5.000000
CHEMBL369252,375.428000,3.445520,1.000000,5.000000
CHEMBL527,331.353000,1.581000,2.000000,5.000000
CHEMBL176844,431.536000,4.724100,1.000000,5.000000
CHEMBL65130,386.835000,3.520320,1.000000,5.000000
CHEMBL62632,381.538000,3.355900,2.000000,4.000000
CHEMBL368546,376.416000,2.977720,2.000000,5.000000
CHEMBL64182,408.608000,3.925200,1.000000,4.000000
CHEMBL62723,414.571000,4.963200,1.000000,4.000000
CHEMBL553736,367.921000,4.520600,1.000000,5.000000
CHEMBL139,296.153000,4.364100,2.000000,2.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL280226,363.548000,5.320500,1.000000,4.000000
CHEMBL331793,427.527000,2.446100,4.000000,7.000000
CHEMBL35969,210.232000,2.815100,0.000000,2.000000
CHEMBL12483,305.447000,4.061000,3.000000,4.000000
CHEMBL356510,312.457000,5.189120,2.000000,2.000000
CHEMBL302155,414.571000,4.963200,1.000000,4.000000
CHEMBL151309,287.359000,4.165120,1.000000,4.000000
CHEMBL12302,313.441000,5.454020,1.000000,3.000000
CHEMBL47223,333.453000,3.759400,2.000000,4.000000
CHEMBL15904,371.485000,2.639170,4.000000,4.000000
CHEMBL17091,305.447000,4.087900,2.000000,5.000000
CHEMBL53805,361.352000,4.860480,2.000000,6.000000
CHEMBL303199,414.889000,4.468920,1.000000,5.000000
CHEMBL177462,447.491000,3.377220,1.000000,7.000000
CHEMBL3144578,252.317000,2.962400,1.000000,2.000000
CHEMBL356843,201.225000,2.859020,1.000000,3.000000
CHEMBL64891,414.571000,4.963200,1.000000,4.000000
CHEMBL332103,290.363000,3.742800,2.000000,5.000000
CHEMBL8562,302.414000,4.317500,1.000000,3.000000
CHEMBL59756,394.431000,3.359300,1.000000,5.000000
CHEMBL274642,229.205000,2.187700,1.000000,3.000000
CHEMBL64458,394.402000,4.830000,1.000000,3.000000
CHEMBL425860,438.487000,4.134420,1.000000,6.000000
CHEMBL369848,410.861000,3.711200,2.000000,5.000000
CHEMBL84750,285.346000,4.967000,0.000000,2.000000
CHEMBL444828,345.358000,3.287820,1.000000,4.000000
CHEMBL417557,376.362000,4.269600,1.000000,2.000000
CHEMBL91004,294.328000,2.752200,2.000000,5.000000
CHEMBL12809,315.417000,4.122800,2.000000,5.000000
CHEMBL302394,341.370000,3.386400,1.000000,3.000000
CHEMBL112733,373.433000,5.050100,2.000000,4.000000
CHEMBL55620,305.761000,3.309100,1.000000,3.000000
CHEMBL112720,362.495000,4.278500,2.000000,5.000000
CHEMBL301136,336.342000,4.549700,2.000000,5.000000
CHEMBL151608,231.251000,2.867620,1.000000,4.000000
CHEMBL148850,270.115000,4.165820,1.000000,3.000000
CHEMBL173009,471.944000,5.472900,1.000000,5.000000
CHEMBL3144586,238.290000,2.572300,1.000000,2.000000
CHEMBL3144583,148.165000,0.866600,1.000000,2.000000
CHEMBL412905,148.165000,0.866600,1.000000,2.000000
CHEMBL3144714,266.344000,3.352500,1.000000,2.000000
CHEMBL3144717,230.292000,2.439400,1.000000,3.000000
CHEMBL52,302.370000,3.566400,4.000000,4.000000
CHEMBL12371,319.474000,4.071400,2.000000,5.000000
CHEMBL12395,316.401000,4.246200,2.000000,5.000000
CHEMBL287012,380.400000,3.489200,1.000000,6.000000
CHEMBL35209,281.399000,4.049040,1.000000,2.000000
CHEMBL8260,270.240000,2.576800,3.000000,5.000000
CHEMBL93670,290.315000,2.638100,1.000000,5.000000
CHEMBL162115,223.279000,3.187300,1.000000,2.000000
CHEMBL3144574,263.300000,2.859200,2.000000,2.000000
CHEMBL64822,342.358000,2.781400,1.000000,4.000000
CHEMBL302208,331.422000,2.626120,1.000000,5.000000
CHEMBL3144718,225.251000,1.772900,1.000000,3.000000
CHEMBL307484,331.755000,3.200700,2.000000,4.000000
CHEMBL75646,283.327000,2.610700,1.000000,3.000000
CHEMBL73348,279.271000,-2.353100,2.000000,4.000000
CHEMBL65325,351.512000,3.993400,1.000000,3.000000
CHEMBL1626563,433.622000,3.451580,2.000000,7.000000
CHEMBL64585,337.485000,3.651200,2.000000,3.000000
CHEMBL367010,403.482000,4.088000,1.000000,5.000000
CHEMBL122377,322.836000,4.776000,1.000000,4.000000
CHEMBL876,318.135000,0.412920,1.000000,3.000000
CHEMBL175153,389.455000,3.834020,1.000000,5.000000
CHEMBL302441,367.511000,3.925000,1.000000,4.000000
CHEMBL298672,337.326000,5.161590,2.000000,4.000000
CHEMBL62693,394.402000,4.830000,1.000000,3.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL302879,347.399000,3.447900,1.000000,4.000000
CHEMBL48568,317.385000,3.594500,2.000000,4.000000
CHEMBL174922,478.980000,5.238400,1.000000,5.000000
CHEMBL302838,361.426000,3.642300,1.000000,4.000000
CHEMBL542941,367.921000,4.520600,1.000000,5.000000
CHEMBL175995,419.481000,4.307900,1.000000,6.000000
CHEMBL63546,379.416000,3.895420,1.000000,4.000000
CHEMBL64396,394.352000,4.408700,1.000000,2.000000
CHEMBL12302,313.441000,5.454020,1.000000,3.000000
CHEMBL94361,338.498000,4.810100,2.000000,6.000000
CHEMBL353553,480.952000,4.084700,1.000000,6.000000
CHEMBL417022,368.314000,5.852620,2.000000,5.000000
CHEMBL349233,442.949000,4.789020,1.000000,6.000000
CHEMBL175150,404.470000,3.756320,2.000000,5.000000
CHEMBL48814,330.428000,3.509700,2.000000,3.000000
CHEMBL418514,317.345000,2.297300,1.000000,4.000000
CHEMBL173009,471.944000,5.472900,1.000000,5.000000
CHEMBL33734,379.412000,4.094200,1.000000,5.000000
CHEMBL54453,271.316000,2.655700,1.000000,3.000000
CHEMBL151847,277.345000,3.344720,1.000000,5.000000
CHEMBL292707,221.300000,2.494000,2.000000,2.000000
CHEMBL275445,362.564000,5.731000,1.000000,5.000000
CHEMBL356014,303.427000,4.633620,1.000000,4.000000
CHEMBL17937,432.423000,5.228500,1.000000,4.000000
CHEMBL3144716,214.224000,1.970900,1.000000,3.000000
CHEMBL62817,386.380000,2.731500,1.000000,6.000000
CHEMBL16827,306.431000,4.211300,2.000000,5.000000
CHEMBL3144577,274.323000,3.531100,1.000000,2.000000
CHEMBL151987,326.484000,5.199520,1.000000,3.000000
CHEMBL35209,281.399000,4.049040,1.000000,2.000000
CHEMBL94042,230.216000,0.996400,2.000000,6.000000
CHEMBL81939,251.285000,3.519400,1.000000,3.000000
CHEMBL296006,292.747000,3.497700,1.000000,4.000000
CHEMBL46912,258.302000,2.844300,1.000000,4.000000
CHEMBL43141,272.329000,3.152720,1.000000,4.000000
CHEMBL44365,266.300000,3.091220,1.000000,3.000000
CHEMBL8747,335.447000,5.427500,1.000000,3.000000
CHEMBL3144579,225.251000,1.772900,1.000000,3.000000
CHEMBL294100,337.485000,3.651200,2.000000,3.000000
CHEMBL303092,367.511000,3.925000,1.000000,4.000000
CHEMBL64507,367.511000,3.925000,1.000000,4.000000
CHEMBL1908355,320.757000,3.253100,2.000000,4.000000
CHEMBL509,296.153000,4.743620,2.000000,2.000000
CHEMBL509,296.153000,4.743620,2.000000,2.000000
CHEMBL28700,311.700000,-1.550400,1.000000,4.000000
CHEMBL174684,405.454000,4.053920,1.000000,6.000000
CHEMBL16048,357.479000,4.028180,2.000000,5.000000
CHEMBL64858,365.389000,3.587000,1.000000,4.000000
CHEMBL298672,337.326000,5.161590,2.000000,4.000000
CHEMBL290797,230.307000,3.756800,0.000000,2.000000
CHEMBL62616,379.466000,4.316720,1.000000,5.000000
CHEMBL285763,261.277000,3.104000,0.000000,4.000000
CHEMBL34698,224.259000,3.376100,0.000000,2.000000
CHEMBL301586,336.342000,4.522800,3.000000,4.000000
CHEMBL54156,352.246000,5.384120,2.000000,5.000000
CHEMBL1626562,425.664000,3.847300,2.000000,6.000000
CHEMBL274642,229.205000,2.187700,1.000000,3.000000
CHEMBL828,199.278000,3.894800,1.000000,2.000000
CHEMBL176945,437.927000,4.306900,1.000000,5.000000
CHEMBL60790,379.466000,4.316720,1.000000,5.000000
CHEMBL44957,289.379000,3.619400,2.000000,5.000000
CHEMBL55620,305.761000,3.309100,1.000000,3.000000
CHEMBL7660,162.192000,0.927900,1.000000,2.000000
CHEMBL146786,247.319000,3.336120,1.000000,4.000000
CHEMBL60993,358.344000,2.988500,1.000000,3.000000
CHEMBL60499,397.406000,4.034520,1.000000,4.000000
CHEMBL316040,385.851000,3.981500,1.000000,5.000000
CHEMBL146701,228.295000,3.210960,2.000000,2.000000
CHEMBL60165,330.347000,2.256900,1.000000,4.000000
CHEMBL295008,431.945000,4.556720,2.000000,5.000000
CHEMBL295243,417.918000,3.995720,2.000000,5.000000
CHEMBL300637,320.274000,4.081200,2.000000,5.000000
CHEMBL149451,271.360000,4.464940,1.000000,3.000000
CHEMBL64304,359.385000,3.482220,1.000000,4.000000
CHEMBL173939,390.443000,3.366220,2.000000,5.000000
CHEMBL284297,216.280000,3.195800,0.000000,2.000000
CHEMBL553275,345.870000,3.775100,0.000000,3.000000
CHEMBL34207,240.258000,2.823700,0.000000,3.000000
CHEMBL368546,376.416000,2.977720,2.000000,5.000000
CHEMBL310833,432.501000,4.240920,1.000000,5.000000
CHEMBL101,308.381000,3.787800,0.000000,2.000000
CHEMBL3144573,239.278000,2.081320,1.000000,3.000000
CHEMBL359369,260.293000,2.611320,2.000000,4.000000
CHEMBL8612,224.263000,2.377900,1.000000,2.000000
CHEMBL60949,331.372000,2.605720,1.000000,4.000000
CHEMBL287012,380.400000,3.489200,1.000000,6.000000
CHEMBL92299,354.427000,4.393900,1.000000,5.000000
CHEMBL329606,292.356000,2.964600,1.000000,5.000000
CHEMBL94220,318.325000,2.363800,1.000000,6.000000
CHEMBL273584,321.398000,2.755800,1.000000,5.000000
CHEMBL73295,283.327000,2.605400,1.000000,4.000000
CHEMBL8425,268.316000,2.826800,0.000000,3.000000
CHEMBL35425,238.286000,3.766200,0.000000,2.000000
CHEMBL60498,330.347000,2.714500,2.000000,3.000000
CHEMBL538059,392.308000,1.274700,1.000000,6.000000
CHEMBL47165,292.747000,3.497700,1.000000,4.000000
CHEMBL73205,313.716000,-1.699700,2.000000,4.000000
