ID,HBA,HBD,MW,logP,TPSA
molekula_id0,7,1,410.499,2.4607,88.18
molekula_id1,5,1,252.343,1.9026,59.81
molekula_id2,9,0,439.497,3.94382,97.32
molekula_id3,3,1,300.305,2.3134,41.46
molekula_id4,10,0,486.569,0.8324,103.08
molekula_id5,5,1,316.38,2.51872,52.49
molekula_id6,2,0,222.243,3.46,30.21
molekula_id7,6,2,222.248,-0.8856,70.25
molekula_id8,6,1,421.932,3.909,63.05
molekula_id9,6,2,324.384,2.5545,74.33
molekula_id10,6,2,269.308,1.79292,75.34
molekula_id11,10,0,529.969,4.47828,140.45
molekula_id12,12,5,521.53,0.6017,177
molekula_id13,15,6,537.537,-1.946,201.06
molekula_id14,4,3,323.371,2.9793,56.92
molekula_id15,7,2,448.548,3.78338,107.87
molekula_id16,6,1,281.271,3.21902,89.15
molekula_id17,7,2,443.551,5.1191,94.23
molekula_id18,6,1,423.472,4.10702,79.37
molekula_id19,6,1,443.906,3.68408,82.43
molekula_id20,4,1,270.332,2.4329,45.33
molekula_id21,4,2,313.74,3.85512,70.16
molekula_id22,5,2,295.342,2.1814,65.2
molekula_id23,6,4,286.239,2.2824,111.13
molekula_id24,7,1,499.489,4.3014,105.09
molekula_id25,2,1,145.161,1.5281,32.86
molekula_id26,6,1,325.416,1.3659,65.12
molekula_id27,5,2,331.375,3.5147,63.25
molekula_id28,3,1,334.444,5.1023,45.75
molekula_id29,7,0,474.977,4.89974,77.97
molekula_id30,8,3,442.475,3.7553,113.18
molekula_id31,6,1,306.343,0.9131,89.12
molekula_id32,5,1,316.43,3.3237,59.81
molekula_id33,3,1,236.274,2.89852,45.75
molekula_id34,7,2,292.368,1.29504,88.49
molekula_id35,9,1,494.592,2.1847,104.83
molekula_id36,3,2,266.344,3.6641,41.13
molekula_id37,6,0,417.519,5.3381,69.63
molekula_id38,3,1,312.316,3.6573,46.01
molekula_id39,6,2,275.337,1.7055,71.84
molekula_id40,8,2,389.415,2.2486,96.33
molekula_id41,6,2,399.45,4.32492,84.08
molekula_id42,8,2,479.606,4.0235,113.77
molekula_id43,2,1,201.25,2.7428,32.86
molekula_id44,4,1,268.268,3.1742,59.67
molekula_id45,2,1,235.286,3.50352,32.86
molekula_id46,9,1,439.479,4.30842,103.78
molekula_id47,2,1,251.31,3.896,32.86
molekula_id48,5,1,240.332,1.7585,59.81
molekula_id49,3,1,222.247,2.5901,45.75
molekula_id50,4,1,308.168,3.2668,45.23
molekula_id51,8,1,265.302,0.0041,90.52
molekula_id52,4,2,281.359,3.2332,54.02
molekula_id53,7,0,442.91,5.12632,82.52
molekula_id54,3,1,294.276,3.3345,45.75
molekula_id55,5,2,277.349,1.1939,67.01
molekula_id56,10,2,406.402,1.5504,130.32
molekula_id57,6,2,281.385,1.1021,71.84
molekula_id58,3,1,254.264,3.03762,45.75
molekula_id59,5,1,403.507,4.1462,66.06
molekula_id60,5,1,343.239,3.2619,59.81
molekula_id61,6,2,313.357,1.0916,84.08
molekula_id62,3,1,290.244,3.6089,45.75
molekula_id63,4,2,243.241,2.0748,54.02
molekula_id64,5,1,184.224,0.3422,59.81
molekula_id65,3,2,258.708,3.1941,41.13
molekula_id66,4,1,234.28,1.5711,54.98
molekula_id67,2,1,159.188,1.83652,32.86
molekula_id68,6,1,275.337,1.3501,72.7
molekula_id69,7,2,437.503,5.2643,94.23
molekula_id70,4,2,330.387,4.1197,50.36
molekula_id71,6,0,401.854,4.71052,69.63
molekula_id72,6,1,268.342,1.139,69.04
molekula_id73,3,1,265.312,3.51212,42.09
molekula_id74,2,1,253.276,3.64262,32.86
molekula_id75,8,2,443.507,3.7483,113.77
molekula_id76,5,1,248.33,0.4005,52.23
molekula_id77,8,2,437.459,4.2114,113.77
molekula_id78,4,2,254.241,2.8712,70.67
molekula_id79,8,1,460.856,5.0478,102.75
molekula_id80,5,1,312.247,2.4082,64.21
molekula_id81,6,2,425.916,3.21892,74.43
molekula_id82,5,1,260.322,2.0262,59.81
molekula_id83,6,1,426.948,3.3451,57.7
molekula_id84,5,0,267.24,3.3682,73.35
molekula_id85,10,1,504.543,2.1862,116.33
molekula_id86,2,1,277.348,4.4098,32.86
molekula_id87,8,2,428.464,1.1928,104.39
molekula_id88,6,2,371.824,2.7588,78.51
molekula_id89,6,0,391.5,4.84328,69.63
molekula_id90,7,0,426.505,4.98002,82.52
molekula_id91,4,2,254.241,2.8712,70.67
molekula_id92,3,1,236.274,3.31082,46.01
molekula_id93,5,1,292.339,2.0942,59.81
molekula_id94,2,1,195.221,2.6813,32.86
molekula_id95,7,2,366.421,2.3251,83.56
molekula_id96,5,1,302.403,2.57194,59.81
molekula_id97,3,1,240.306,2.4243,36.1
molekula_id98,6,1,264.31,1.5481,72.95
molekula_id99,5,1,294.424,3.0729,59.81
molekula_id100,9,0,559.46,5.3819,116.66
molekula_id101,8,0,470.558,5.29704,91.75
molekula_id102,5,2,286.331,1.737,75.21
molekula_id103,6,1,409.511,3.0657,75.29
molekula_id104,3,1,222.247,2.5901,45.75
molekula_id105,3,1,304.271,4.32962,46.01
molekula_id106,9,1,519.577,2.5004,108.49
molekula_id107,6,1,286.287,1.2962,81.28
molekula_id108,2,0,264.324,4.5834,30.21
molekula_id109,3,1,308.303,3.4431,36.1
molekula_id110,8,0,471.933,5.19668,106.31
molekula_id111,5,1,288.376,2.3452,59.81
molekula_id112,7,0,393.472,4.23504,78.86
molekula_id113,3,2,224.263,2.5407,41.13
molekula_id114,4,2,225.251,1.9357,54.02
molekula_id115,5,2,255.277,1.9443,63.25
molekula_id116,5,3,270.24,2.5768,90.9
molekula_id117,4,1,266.3,3.31942,55.24
molekula_id118,5,1,271.32,1.5756,58.22
molekula_id119,3,1,238.242,3.1656,50.44
molekula_id120,3,2,280.371,3.8382,41.13
molekula_id121,3,1,312.316,3.494,45.75
molekula_id122,5,1,343.239,3.2619,59.81
molekula_id123,5,2,370.836,3.53312,71.19
molekula_id124,5,3,270.24,2.5768,90.9
molekula_id125,4,2,330.387,4.1197,50.36
molekula_id126,4,2,267.332,3.0591,54.02
molekula_id127,4,2,254.289,2.5493,50.36
molekula_id128,4,1,262.696,2.163,54.98
molekula_id129,2,0,240.233,3.5991,30.21
molekula_id130,4,1,296.248,2.5284,54.98
molekula_id131,3,1,312.316,3.245,45.75
molekula_id132,6,1,427.501,3.2048,75.29
molekula_id133,11,0,535.973,4.0102,138.78
molekula_id134,6,0,429.48,5.4157,69.63
molekula_id135,8,1,484.572,2.5612,95.6
molekula_id136,2,1,253.276,3.64262,32.86
molekula_id137,6,1,341.411,1.8239,75.29
molekula_id138,3,3,284.746,3.73912,58.88
molekula_id139,4,3,346.228,2.93512,71.77
molekula_id140,6,1,275.337,1.3501,72.7
molekula_id141,3,2,258.708,3.1941,41.13
molekula_id142,4,2,259.696,2.5891,54.02
molekula_id143,5,1,258.277,1.5182,64.21
molekula_id144,7,2,425.51,2.7713,95.52
molekula_id145,7,0,407.499,4.48902,78.86
molekula_id146,9,0,486.557,5.0789,100.98
molekula_id147,2,1,253.276,3.64262,32.86
molekula_id148,4,3,251.289,2.89302,72.03
molekula_id149,5,2,331.375,3.5147,63.25
molekula_id150,3,1,319.202,3.1868,36.1
molekula_id151,5,1,210.262,0.7323,59.81
molekula_id152,8,0,409.471,3.93522,88.09
molekula_id153,3,1,292.363,4.11322,45.75
molekula_id154,7,2,424.526,3.3067,96.97
molekula_id155,6,0,377.473,4.53486,69.63
molekula_id156,5,1,266.37,2.2927,59.81
molekula_id157,5,1,260.322,1.565,59.81
molekula_id158,10,3,478.505,1.7478,133.91
molekula_id159,7,0,455.543,5.59362,78.86
molekula_id160,7,2,482.993,4.43678,107.87
molekula_id161,5,1,343.239,3.2619,59.81
molekula_id162,4,2,239.278,2.24412,54.02
molekula_id163,4,1,242.278,1.81802,54.98
molekula_id164,4,2,239.278,2.24412,54.02
molekula_id165,2,0,236.27,3.76842,30.21
molekula_id166,3,2,238.29,2.84912,41.13
molekula_id167,3,2,242.253,2.6798,41.13
molekula_id168,3,2,238.29,2.84912,41.13
molekula_id169,4,2,259.696,2.5891,54.02
molekula_id170,4,1,307.147,2.2721,54.98
molekula_id171,7,0,401.451,4.8696,82.77
molekula_id172,6,1,427.501,3.2048,75.29
molekula_id173,8,0,442.504,4.6802,91.75
molekula_id174,2,1,269.731,4.15692,32.86
molekula_id175,3,1,270.719,3.55192,45.75
molekula_id176,4,2,252.273,3.01642,66.24
molekula_id177,3,1,315.17,3.66102,45.75
molekula_id178,3,1,250.301,3.20694,45.75
molekula_id179,3,1,274.751,3.0777,36.1
molekula_id180,6,1,409.445,3.7986,79.37
molekula_id181,6,0,411.49,5.2766,69.63
molekula_id182,4,2,330.387,4.1197,50.36
molekula_id183,5,2,331.375,3.5147,63.25
molekula_id184,8,1,524.618,3.1669,95.6
molekula_id185,6,1,409.511,3.0657,75.29
molekula_id186,5,1,308.794,2.6085,59.81
molekula_id187,9,0,440.463,4.27532,100.98
molekula_id188,7,1,485.462,3.99298,105.09
molekula_id189,5,1,198.251,0.7323,59.81
molekula_id190,8,0,409.471,3.93522,88.09
molekula_id191,8,1,442.491,1.535,95.6
molekula_id192,7,1,410.499,2.4607,88.18
molekula_id193,7,0,397.435,4.06572,78.86
molekula_id194,8,1,518.589,3.1054,95.6
molekula_id195,7,1,517.479,4.4405,105.09
molekula_id196,5,1,266.37,2.2927,59.81
molekula_id197,6,2,336.395,2.6986,74.33
molekula_id198,8,2,475.574,4.2979,113.77
molekula_id199,8,1,470.545,2.3152,95.6
